Company;Website;Score;Primary Keyword Matches from EPO;Secondary Keyword Matches from EPO;Nuclear mentioned on website;Oil and Gas mentioned on website;Keyword Matches from Website;Tab Matches from Website;Patent #
Visteon Global Technologies Inc;https://www.visteon.com;200;[];['sensor  (secondary)', 'change  (secondary)'];;;;['Products'];EP3543086
NCR Corp;https://www.ncr.com;225;[];['remote  (secondary)', 'remote  (secondary)'];;;;['Services', 'Applications', 'Industries'];EP3543930
Otis Elevator Co;https://www.otis.com;150;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;;EP3590878
Equos Research Co Ltd;http://www.equos.co.jp;150;[];['sensor  (secondary)', 'change  (secondary)'];;;;['Industries'];EP3547064
Sanofi Aventis Deutschland GmbH;https://www.sanofi.de;150;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;;EP3545990
Oxford University Innovation Ltd;https://innovation.ox.ac.uk;175;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;['Services', 'Services', 'Services'];EP3546847
Sensirion AG;https://www.sensirion.com;245;[];['sensor  (secondary)', 'sensor  (secondary)'];;;['energy', 'energy', 'Energy', 'Energy', 'energy', 'energy', 'energy', 'energy', 'Energy', 'energy', 'energy', 'Energy', 'energy', 'Energy', 'energy', 'energy', 'energy', 'energy', 'energy', 'energy'];['Applications', 'Applications', 'Products'];EP3546955
Kyocera Document Solutions Inc;http://www.kyoceradocumentsolutions.com;230;[];['sensor  (secondary)', 'change  (secondary)', 'sensor  (secondary)', 'change  (secondary)'];;;['Energy'];['Products', 'Services'];EP3550419
Malvern Panalytical BV;https://www.malvernpanalytical.com;270;[];['change  (secondary)', 'change  (secondary)'];;;['energy', 'Energy', 'energy', 'Energy', 'energy', 'energy', 'Energy', 'energy', 'Energy', 'energy', 'Energy', 'energy', 'Energy', 'energy', 'Energy', 'energy', 'Energy'];['Products', 'Services', 'Services', 'Services'];EP3553508
Medicaroid Corp;http://www.medicaroid.com;200;[];['remote  (secondary)', 'sensor  (secondary)'];;;;['Industries'];EP3552573
Intuitive Surgical Operations Inc;https://www.intuitive.com;245;[];['sensor  (secondary)', 'sensor  (secondary)'];;;['Energy', 'Energy', 'energy', 'Energy', 'Energy', 'energy'];['Products', 'Services'];EP3552653
Femselect Ltd;https://femselect.com;150;[];['sensor  (secondary)', 'change  (secondary)'];;;;;EP3554389
Alps Alpine Co Ltd;https://www.alpsalpine.com;220;[];['sensor  (secondary)', 'change  (secondary)'];;;['Energy', 'Energy', 'Energy', 'Energy', 'Energy'];['Products'];EP3578999
Tadano Ltd;https://www.tadano.com;150;[];['remote  (secondary)', 'change  (secondary)'];;;;['Products', 'Products', 'Products'];EP3556713
CNH Industrial Belgium NV;https://www.cnhindustrial.com;225;[];['sensor  (secondary)', 'change  (secondary)'];;;;['Products', 'Services'];EP3556197
ServiceNow Inc;https://www.servicenow.com;270;[];['remote  (secondary)', 'change  (secondary)'];;;['Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy'];['Products', 'Services', 'Industries'];EP3557507
Seys Medioambiente SL;https://www.seysmedioambiente.com;150;[];['remote  (secondary)', 'sensor  (secondary)'];;;;;EP3556649
Hanwha Techwin Co Ltd;https://www.hanwha-security.com;150;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;;EP3561787
Fairfield Industries Inc;http://fairfield-industries.com;225;[];['remote  (secondary)', 'sensor  (secondary)'];;;;['Products', 'Industries'];EP3561549
Simol SpA;https://www.simol.com;245;[];['remote  (secondary)', 'sensor  (secondary)', 'change  (secondary)'];;;['customized', 'solutions', 'customized', 'solutions'];['Applications'];EP3560774
Kyun Sik Jung;https://www.researchgate.net;150;[];['change  (secondary)', 'change  (secondary)'];;;;;EP3561270
FANUC Corp;https://www.fanucinternational.com;150;[];['change  (secondary)', 'change  (secondary)'];;;;;EP3560647
NTN Corp;https://www.ntnglobal.com;220;[];['sensor  (secondary)', 'change  (secondary)'];;;['Energy', 'Energy', 'energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy'];['Products', 'Products'];EP3564640
Yamaha Motor Co Ltd;https://global.yamaha-motor.com;200;[];['sensor  (secondary)', 'change  (secondary)'];;;;['Products'];EP3564110
Chillservices GmbH;https://chillservices.com;170;[];['sensor  (secondary)', 'sensor  (secondary)'];;;['Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'energy', 'energy', 'Energy', 'energy', 'energy'];['Services'];EP3564636
TTI Macao Commercial Offshore Ltd;https://panjiva.com;215;[];['sensor  (secondary)', 'change  (secondary)'];Y;;['Nuclear'];['Products', 'Products'];EP3566804
Jiangsu Goldwind Science and Technology Co Ltd;http://www.goldwindglobal.com;220;[];['change  (secondary)', 'change  (secondary)'];;;['energy', 'energy', 'energy', 'energy', 'Energy'];['Services'];EP3569872
Gah (refrigeration Products) Ltd;https://gah.co.uk;200;[];['sensor  (secondary)', 'change  (secondary)'];;;;['Products', 'Services'];EP3570426
Facebook Inc;https://encrypted-tbn1.gstatic.com;150;[];['change  (secondary)', 'change  (secondary)'];;;;;EP3572916
Konica Minolta Inc;https://www.konicaminolta.com;150;[];['sensor  (secondary)', 'change  (secondary)'];;;;;EP3572797
Saurer Spinning Solutions GmbH and Co KG;https://saurer.com;260;[];['sensor  (secondary)', 'sensor  (secondary)'];;;['cots', 'cots', 'energy', 'energy', 'cots', 'cots', 'cots', 'cots'];['Products', 'Services', 'Industries'];EP3572803
Biosense Webster Israel Ltd;https://cardiovascularnews.com;150;[];['sensor  (secondary)', 'change  (secondary)'];;;;;EP3571983
Alpha Corp;https://www.alphacorp.in;150;[];['sensor  (secondary)', 'change  (secondary)'];;;;['Services', 'Services', 'Services'];EP3575526
Merlin Technology Inc;https://www.merlin-technology.com;150;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;['Services'];EP3575548
Campagnolo SRL;https://lezebre.lu;150;[];['sensor  (secondary)', 'change  (secondary)'];;;;;EP3575198
Cole Parmer Instrument Co;https://www.coleparmer.com;250;[];['remote  (secondary)', 'sensor  (secondary)'];;;;['Products', 'Services', 'Industries'];EP3575750
Allstate Insurance Co;https://www.allstate.com;150;[];['sensor  (secondary)', 'change  (secondary)'];;;;;EP3577622
Asahi Seiko Co Ltd;https://www.asahiseiko.co.jp;150;[];['sensor  (secondary)', 'change  (secondary)'];;;;;EP3579202
Arkray Inc;http://www.arkray.co.jp;200;[];['sensor  (secondary)', 'change  (secondary)'];;;;['Products', 'Products', 'Products'];EP3578665
Netzsch Geraetebau GmbH;https://www.netzsch.com;150;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;;EP3578961
Guangdong Oppo Mobile Telecommunications Corp Ltd;https://www.oppo.com;225;[];['sensor  (secondary)', 'change  (secondary)'];;;;['Products', 'Services'];EP3579086
GE Aviation Systems Ltd;https://www.geaviation.com;215;[];['sensor  (secondary)', 'change  (secondary)'];;;['Energy', 'Energy', 'Energy'];['Services'];EP3584956
SZ DJI Technology Co Ltd;http://www.dji.com;225;[];['sensor  (secondary)', 'change  (secondary)'];;;;['Services', 'Products', 'Products', 'Services'];EP3578507
Danfoss AS;https://www.danfoss.com;170;[];['sensor  (secondary)', 'change  (secondary)'];;;['energy', 'energy', 'energy', 'energy', 'energy', 'energy', 'Energy'];['Products'];EP3587962
Provigate Inc;https://provigate.com;150;[];['sensor  (secondary)', 'change  (secondary)'];;;;;EP3588075
Sumitomo Electric Industries Ltd;https://sumitomoelectric.com;245;[];['sensor  (secondary)', 'change  (secondary)'];;;['Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy'];['Products', 'Industries'];EP3588117
Baxter Healthcare SA;https://www.baxter.com;200;[];['remote  (secondary)', 'sensor  (secondary)', 'change  (secondary)'];;;;['Products'];EP3586888
Ascensia Diabetes Care Holdings AG;https://www.ascensia.com;200;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;['Products'];EP3588086
Kamstrup AS;https://www.kamstrup.com;220;[];['sensor  (secondary)', 'change  (secondary)'];;;['energy', 'energy', 'energy', 'energy', 'energy'];['Services', 'Services'];EP3591350
Zeon Corp;https://www.zeon.co.jp;220;[];['sensor  (secondary)', 'change  (secondary)'];;;['Energy', 'Energy', 'Energy', 'energy', 'Energy', 'Energy', 'Energy'];['Products', 'Applications'];EP3594646
Silicon Controls Pty Ltd;http://www.siliconcontrols.com;200;[];['sensor  (secondary)', 'change  (secondary)'];;;;['Applications'];EP3595327
SCRRD Inc;https://www.scrrd.com;150;[];['sensor  (secondary)', 'change  (secondary)'];;;;;EP3596977
Safran Landing Systems SAS;https://www.safran-group.com;245;[];['sensor  (secondary)', 'change  (secondary)'];;;['energy', 'energy', 'energy', 'energy', 'energy', 'energy', 'energy', 'energy', 'energy'];['Products', 'Products', 'Services'];EP3597496
