Company;Website;Score;Primary Keyword Matches from EPO;Secondary Keyword Matches from EPO;Nuclear mentioned on website;Oil and Gas mentioned on website;Keyword Matches from Website;Tab Matches from Website;Patent #
Miracll Chemicals Co Ltd;http://www.miracll.com;180;['in-situ  (primary)'];[];;;['Energy', 'Energy', 'customized', 'solutions', 'customized', 'solutions'];['Products'];EP3549983
Wuxi Maitong Scientific Instrument Co Ltd;https://tc.prv.se;150;['microbial  (primary)'];['sensor  (secondary)'];;;;;EP3553490
UACJ Corp;https://www.uacj.co.jp;190;['corrosion  (primary)'];[];;;['energy', 'energy', 'energy'];['Products', 'Industries'];EP3556874
Universite Laval;https://www.ulaval.ca;100;['corrosion  (primary)'];[];;;;;EP3555692
Joy Medical Devices Corp;https://jmdjmden.weebly.com;100;['corrosion  (primary)'];[];;;;;EP3554403
Mavako Aps;https://www.mavako.dk;100;['corrosion  (primary)'];[];;;;;EP3559383
Procter and Gamble Co;https://us.pg.com;100;['microbial  (primary)'];[];;;;['Products'];EP3561032
Terranol AS;https://www.terranol.com;110;['microbial  (primary)'];[];;;['energy', 'energy'];;EP3561064
Hi Lex Corp;https://www.glassdoor.com;175;['corrosion  (primary)'];[];;;;['Services'];EP3561211
Showa Denko KK;https://www.sdk.co.jp;155;['corrosion  (primary)'];[];;;['Energy'];['Products', 'Products'];EP3565048
Nihon Parkerizing Co Ltd;https://www.parker.co.jp;100;['corrosion  (primary)'];[];;;;;EP3564408
SNIPR Technologies Ltd;https://www.sniprbiome.com;100;['corrosion  (primary)'];[];;;;;EP3563684
Abiomed Europe GmbH;https://www.abiomed.com;175;['corrosion  (primary)'];[];;;;['Products', 'Services'];EP3567619
Commissariat a lEnergie Atomique et aux Energies Alternatives;https://www.effra.eu;100;['corrosion  (primary)'];[];;;;;EP3567645
Cleanwood Technology SL;https://www.cleanwood.es;100;['microbial  (primary)'];[];;;;;EP3566722
Daicel Corp;https://www.daicel.com;170;['corrosion  (primary)'];[];;;['Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'Energy'];['Products', 'Applications', 'Products'];EP3567024
Prestone Products Corp USA;https://prestone.com;150;['corrosion  (primary)'];[];;;;['Products'];EP3567087
LifeCell Corp;http://lifecell.com;100;['microbial  (primary)'];[];;;;;EP3566727
LG Electronics Inc;https://www.lg.com;230;[];['sensor  (secondary)', 'sensor  (secondary)'];;;['Energy', 'Energy', 'customized', 'solutions', 'customized', 'solutions', 'Energy', 'Energy', 'Energy', 'Energy', 'energy', 'Energy', 'energy', 'Energy', 'Energy', 'energy', 'energy', 'Energy', 'Energy'];['Products'];EP3511802
Shenzhen Happy Vaping Technology Ltd;http://www.happyvaping.net;150;['corrosion  (primary)'];[];;;;['Products'];EP3569076
Jennewein Biotechnologie GmbH;https://www.chr-hansen.com;100;['microbial  (primary)'];[];;;;;EP3575404
Lincoln Manufacturing Co Inc;https://www.lincolnmanufacturing.com;100;['microbial  (primary)'];[];;;;['Products', 'Services'];EP3569069
Shimano Inc;https://www.shimano.com;100;['corrosion  (primary)'];[];;;;;EP3572228
Kunshan Govisionox Optoelectronics Co Ltd;https://www.businesswire.com;175;['corrosion  (primary)'];[];;;['energy', 'customized', 'solutions', 'customized', 'solutions'];['Services'];EP3573046
MEDODERM GmbH;https://medoderm.com;150;['microbial  (primary)'];[];;;;['Products', 'Products', 'Products'];EP3572100
International Paper Co;https://www.internationalpaper.com;160;['microbial  (primary)'];[];;;['Energy', 'Energy'];['Products'];EP3572101
Idemitsu Kosan Co Ltd;https://www.idemitsu.com;85;['corrosion  (primary)'];[];;;['Energy', 'energy'];;EP3575388
